"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DPP4",-1.65440606241025,7.21303100512,-2.12049235361349,0.0439141800347824,0.314224754830437,-4.24065534131302
"HSPB7",-1.64891364328205,3.87649307684,-7.17876460256107,1.46573616336519e-07,0.000108295916430237,7.47530194848374
"CD14",1.64757087546154,7.25895173676,5.95580421940038,3.04496471102778e-06,0.000978161815975164,4.63911436191165
"NDN",-1.63884245723076,7.99921592976,-2.4930150402679,0.0195412589623696,0.208796192241303,-3.53129297570085
"ZNF804A",1.63575301876923,3.44885666324,5.30520693240694,1.62215420179956e-05,0.00285363959999905,3.0643898465024
"ADRB2",1.62998175764103,5.86956995636,6.61034928869122,5.87944000551725e-07,0.000280259628908156,6.18082261737932
"AVPI1",1.62742151183334,8.24367396568,6.45770752304347,8.59291301473603e-07,0.000384780229147741,5.82585899256082
"TMTC1",1.62262174704488,7.37133684412,3.26791180152715,0.00310656082640364,0.0755900997139733,-1.86156433896236
"CCDC85A",-1.61706918141025,5.515007716,-2.84054122174512,0.00875540335914407,0.131726075248631,-2.80988414917507
"DNAJC6",1.61554267589744,3.2831569352,7.48517621842175,7.04779485461555e-08,7.43894746904672e-05,8.15408534636224
